gene,mean_abs_weight,"coef_Thyroid Papillary Carcinoma, Classical/Usual Type","coef_Thyroid Papillary Carcinoma, Follicular (>= 99% Follicular Patterned)","coef_Thyroid Papillary Carcinoma, Tall Cell (>= 50% Tall Cell Features)",biological_note
TBC1D2,0.9541311140910459,-1.4003511218645093,-0.03084554927206047,1.4311966711365678,No curated note; investigate in MSigDB / PubMed / GeneCards.
CYP1B1,0.7655660870448973,1.14834913056735,-0.14449153734373177,-1.0038575932236098,No curated note; investigate in MSigDB / PubMed / GeneCards.
TM7SF4,0.6726372996674402,0.44909391655260267,-1.0089559495011597,0.5598620329485583,No curated note; investigate in MSigDB / PubMed / GeneCards.
SFTPB,0.6416836832164874,-0.7393430818142246,-0.22318244301050635,0.9625255248247311,No curated note; investigate in MSigDB / PubMed / GeneCards.
SFN,0.5911472335412084,0.4248710463240142,0.46184980398779946,-0.8867208503118115,No curated note; investigate in MSigDB / PubMed / GeneCards.
GABRB2,0.5855913442983629,-0.8783870164475447,0.44302186835643337,0.4353651480911107,No curated note; investigate in MSigDB / PubMed / GeneCards.
PDLIM4,0.5760327869770995,-0.4583511645917715,0.8640491804656486,-0.40569801587387827,No curated note; investigate in MSigDB / PubMed / GeneCards.
CREB5,0.555475239877062,-0.8332128598155962,0.33865858549351874,0.49455427432207105,No curated note; investigate in MSigDB / PubMed / GeneCards.
MST1R,0.5364685944500446,0.7033607033611189,0.10134218831394654,-0.8047028916750683,No curated note; investigate in MSigDB / PubMed / GeneCards.
ALOX5,0.5316288621574836,-0.6189128566126315,-0.1785304366235925,0.797443293236227,No curated note; investigate in MSigDB / PubMed / GeneCards.
DTX4,0.5216284506718821,-0.23175335384000922,-0.5506893221678123,0.7824426760078246,No curated note; investigate in MSigDB / PubMed / GeneCards.
LDLR,0.5196323065456078,0.3439183842872762,-0.7794484598184119,0.43553007553113504,No curated note; investigate in MSigDB / PubMed / GeneCards.
GRHL3,0.4863393452363267,0.7295090178544895,-0.02902752375246967,-0.7004814941020209,No curated note; investigate in MSigDB / PubMed / GeneCards.
C1orf106,0.48003494917575357,-0.06999776455765438,-0.6500546592059765,0.7200524237636299,No curated note; investigate in MSigDB / PubMed / GeneCards.
CDC42EP3,0.4753995246457287,-0.34400916074972193,-0.3690901262188695,0.7130992869685945,No curated note; investigate in MSigDB / PubMed / GeneCards.
CFI,0.4721869521176349,0.10348143592780115,-0.7082804281764534,0.60479899224865,No curated note; investigate in MSigDB / PubMed / GeneCards.
BEAN1,0.4648030286755429,0.6972045430133169,-0.2865884099168979,-0.4106161330964139,No curated note; investigate in MSigDB / PubMed / GeneCards.
CD1A,0.4605738439515871,-0.46932507856018263,-0.221535687367197,0.6908607659273815,No curated note; investigate in MSigDB / PubMed / GeneCards.
FLJ42709,0.45422909183486376,-0.6005937932354433,-0.08074984451685112,0.6813436377522969,No curated note; investigate in MSigDB / PubMed / GeneCards.
GPR153,0.4366867639783303,0.21999685514577505,-0.6550301459674942,0.43503329082172154,No curated note; investigate in MSigDB / PubMed / GeneCards.
ANXA2P2,0.43543691382768895,-0.3509775789333805,-0.30217779180815296,0.6531553707415333,No curated note; investigate in MSigDB / PubMed / GeneCards.
NGEF,0.43470288938906565,-0.6520543340835978,0.6078020037716836,0.044252330311915625,No curated note; investigate in MSigDB / PubMed / GeneCards.
PLEKHA6,0.4131391692927444,-0.06425534419136994,0.6197087539391162,-0.555453409747747,No curated note; investigate in MSigDB / PubMed / GeneCards.
COL8A2,0.4121536572870357,-0.24415975252939245,0.6182304859305546,-0.37407073340116,No curated note; investigate in MSigDB / PubMed / GeneCards.
MET,0.4072769148942384,-0.2844522394791039,-0.3264631328622536,0.6109153723413577,HGF receptor; linked to invasion and metastasis in thyroid cancer.
MACC1,0.4043203283004954,0.5334559949987736,0.07302449745196847,-0.6064804924507441,No curated note; investigate in MSigDB / PubMed / GeneCards.
ARSI,0.40430613626537076,-0.4225967932786587,-0.18386241111939583,0.6064592043980576,No curated note; investigate in MSigDB / PubMed / GeneCards.
SFTPC,0.4028695710663577,-0.3595144740734701,-0.2447898825260652,0.6043043565995379,No curated note; investigate in MSigDB / PubMed / GeneCards.
S100A10,0.40067332084592705,-0.3104359718194747,0.6010099812688914,-0.2905740094494152,No curated note; investigate in MSigDB / PubMed / GeneCards.
MMP7,0.3863349089994417,0.2783794590879318,-0.5795023634991623,0.30112290441123085,No curated note; investigate in MSigDB / PubMed / GeneCards.
VGLL1,0.3854279008680626,-0.5781418513020933,0.4411944776443612,0.1369473736577334,No curated note; investigate in MSigDB / PubMed / GeneCards.
CXCL17,0.3820235273107316,-0.5730352909660986,0.0008528621580965758,0.5721824288079996,No curated note; investigate in MSigDB / PubMed / GeneCards.
PVRL4,0.37984885623235704,0.5697732843485354,-0.1630641361505495,-0.40670914819798637,No curated note; investigate in MSigDB / PubMed / GeneCards.
MXRA8,0.3776822528074784,0.5665233792112181,-0.17131029930905178,-0.39521307990216537,No curated note; investigate in MSigDB / PubMed / GeneCards.
KRT19,0.37150437034470657,-0.4969351023212231,0.55725655551706,-0.06032145319583679,Cytokeratin 19; diagnostic marker in thyroid nodules.
CLDN10,0.36859251240198176,-0.5528887686029723,0.2105671637387871,0.34232160486418606,No curated note; investigate in MSigDB / PubMed / GeneCards.
HES2,0.36676859477870627,0.550152892168059,-0.27900593498321397,-0.271146957184846,No curated note; investigate in MSigDB / PubMed / GeneCards.
SEL1L3,0.35607973267093046,-0.5341195990063967,0.3297515076757273,0.20436809133066744,No curated note; investigate in MSigDB / PubMed / GeneCards.
SYT1,0.3522679821702102,0.06302343569149779,-0.528401973255317,0.46537853756381575,No curated note; investigate in MSigDB / PubMed / GeneCards.
CCL18,0.34938916439369905,0.5240837465905491,-0.19778606843596228,-0.3262976781545858,No curated note; investigate in MSigDB / PubMed / GeneCards.
SDC4,0.34765130515158055,0.022548479170440425,-0.5214769577273712,0.4989284785569299,No curated note; investigate in MSigDB / PubMed / GeneCards.
SERPINA1,0.3456835612322928,-0.2839151237761078,-0.2346102180723315,0.5185253418484392,No curated note; investigate in MSigDB / PubMed / GeneCards.
SYTL5,0.33938567402237513,0.15870639551581872,-0.5090785110335644,0.3503721155177424,No curated note; investigate in MSigDB / PubMed / GeneCards.
ELF3,0.3393431266537698,0.12266095981051878,0.386353730170136,-0.5090146899806546,No curated note; investigate in MSigDB / PubMed / GeneCards.
C19orf59,0.33083180432901843,-0.00169411766054695,-0.4945535888329821,0.4962477064935262,No curated note; investigate in MSigDB / PubMed / GeneCards.
MICAL2,0.33041263380084157,0.49561895070126405,-0.18929679267285912,-0.3063221580284015,No curated note; investigate in MSigDB / PubMed / GeneCards.
UNC5CL,0.3182577614954186,0.17006185956920303,-0.47738664224312677,0.30732478267392604,No curated note; investigate in MSigDB / PubMed / GeneCards.
KCNN4,0.3117579991040691,0.4676369986561018,-0.20247812352154063,-0.26515887513456476,No curated note; investigate in MSigDB / PubMed / GeneCards.
CEACAM6,0.3109659614981801,0.4664489422472693,-0.3383340569496014,-0.1281148852976697,No curated note; investigate in MSigDB / PubMed / GeneCards.
EPHB3,0.3096494848301107,0.27509785582010576,0.18937637142505964,-0.4644742272451666,No curated note; investigate in MSigDB / PubMed / GeneCards.
KCNIP3,0.2899420085767396,-0.4349130128651096,0.05734640530020717,0.37756660756490196,No curated note; investigate in MSigDB / PubMed / GeneCards.
NFE2L3,0.28699074818025205,0.4304861222703767,-0.21773602411723378,-0.21275009815314572,No curated note; investigate in MSigDB / PubMed / GeneCards.
DSC2,0.28070883928739476,0.3725801366851899,-0.42106325893109203,0.04848312224590232,No curated note; investigate in MSigDB / PubMed / GeneCards.
AHNAK2,0.2798015475186999,-0.19050201761909621,-0.22920030365895222,0.41970232127805135,No curated note; investigate in MSigDB / PubMed / GeneCards.
CYP2S1,0.2797141238139058,-0.23963179639768378,-0.17993938932317372,0.4195711857208599,No curated note; investigate in MSigDB / PubMed / GeneCards.
TUBB3,0.27946239862199046,0.042434737565209275,0.37675886036777534,-0.4191935979329868,No curated note; investigate in MSigDB / PubMed / GeneCards.
RASGEF1B,0.2756974511356353,-0.4135461767034518,0.09772295923102821,0.31582321747242587,No curated note; investigate in MSigDB / PubMed / GeneCards.
SLC34A2,0.27531450879495817,-0.4129717631924375,0.004863720775849307,0.4081080424165877,No curated note; investigate in MSigDB / PubMed / GeneCards.
CTSC,0.27452459980472077,-0.4117868997070818,0.36930369493399634,0.04248320477308406,No curated note; investigate in MSigDB / PubMed / GeneCards.
LAMB3,0.2588440908480562,-0.359893729976047,-0.02837240629603758,0.388266136272084,No curated note; investigate in MSigDB / PubMed / GeneCards.
MYO1G,0.2575860724532561,0.3863791086798845,-0.08089261787587756,-0.3054864908040061,No curated note; investigate in MSigDB / PubMed / GeneCards.
IGFL2,0.2564142967228057,0.15319317898758725,-0.3846214450842093,0.23142826609662046,No curated note; investigate in MSigDB / PubMed / GeneCards.
PTPRE,0.2518040158549792,-0.37770602378246926,0.16388840811944433,0.21381761566302407,No curated note; investigate in MSigDB / PubMed / GeneCards.
KCNQ3,0.24945522147499163,0.0929247427831644,0.28125808942932257,-0.37418283221248794,No curated note; investigate in MSigDB / PubMed / GeneCards.
STAC,0.23588260820204573,0.21654011000993584,0.13728380229313314,-0.3538239123030682,No curated note; investigate in MSigDB / PubMed / GeneCards.
FN1,0.23437418274848718,-0.2529060697043376,-0.09865520441839234,0.3515612741227315,Fibronectin; stromal / EMT marker.
PPL,0.23209961207008814,0.09444442540316479,0.2537049927019695,-0.3481494181051301,No curated note; investigate in MSigDB / PubMed / GeneCards.
FAM176A,0.2307129901263235,0.3460694851894845,-0.3066663579915368,-0.039403127197949146,No curated note; investigate in MSigDB / PubMed / GeneCards.
RUNX1,0.22123927641612307,-0.2354719761764409,0.3318589146241832,-0.0963869384477451,No curated note; investigate in MSigDB / PubMed / GeneCards.
TMEM92,0.2089904285956464,-0.17226046396192182,-0.1412251789315486,0.31348564289346875,No curated note; investigate in MSigDB / PubMed / GeneCards.
MUC1,0.20881328975837862,0.31321993463756836,-0.2979414463108356,-0.015278488326731872,"Mucin; epithelial marker, can be elevated in tall-cell variant."
P2RY6,0.20859699592402756,-0.0971609287425943,0.3128954938860415,-0.2157345651434469,No curated note; investigate in MSigDB / PubMed / GeneCards.
MARCO,0.196208783301652,-0.294313174952479,0.12184187698647893,0.17247129796599805,No curated note; investigate in MSigDB / PubMed / GeneCards.
AMOT,0.19530941844489638,0.2929641276673442,-0.1940055327624818,-0.09895859490486317,No curated note; investigate in MSigDB / PubMed / GeneCards.
DSC3,0.1923682155098081,-0.04730406953378447,-0.2412482537309279,0.2885523232647119,No curated note; investigate in MSigDB / PubMed / GeneCards.
CST6,0.17591691529839892,0.1022372476505608,-0.26387537294759783,0.16163812529703814,No curated note; investigate in MSigDB / PubMed / GeneCards.
CCL22,0.16723939584165878,0.19855961194993843,-0.25085909376248844,0.05229948181254949,No curated note; investigate in MSigDB / PubMed / GeneCards.
